game_date,home_team,away_team,actual_win,actual_total,home_win_prob,predicted_total,ou_line,over_prob,home_covers_prob,ml_home_edge,ml_away_edge,ou_over_edge,ou_under_edge,rl_home_edge,bet_placed,bet_side,bet_odds,bet_stake,pnl
2024-03-20,SD,LAD,0,7.0,0.2585,6.76,9.0,0.1367,0.0693,-0.0001,0.0001,-0.3633,0.3633,-0.3267,True,under,-110.0,4.0,3.64
2024-03-21,LAD,SD,0,26.0,0.0833,7.29,9.0,0.1881,0.0693,-0.0,0.0,-0.3119,0.3119,-0.3267,True,under,-110.0,4.0,-4.0
2024-03-28,SEA,BOS,0,10.0,0.5812,8.2,9.0,0.3016,0.4211,0.0003,-0.0003,-0.1984,0.1984,0.0251,True,under,-110.0,4.0,-4.0
2024-03-28,AZ,COL,1,17.0,0.9931,8.26,9.0,0.3103,0.8964,0.0431,-0.0431,-0.1897,0.1897,0.5004,True,rl_home,145.0,10.0,14.5
2024-03-28,OAK,CLE,0,8.0,0.0,5.76,9.0,0.0673,0.0,-0.05,0.05,-0.4327,0.4327,-0.396,True,under,-110.0,4.0,3.64
2024-03-28,TEX,CHC,1,7.0,0.4577,8.86,9.0,0.3997,0.13,0.0001,-0.0001,-0.1003,0.1003,-0.266,True,under,-110.0,4.0,3.64
2024-03-28,MIA,PIT,0,11.0,0.1236,8.67,9.0,0.3696,0.0243,-0.0,0.0,-0.1304,0.1304,-0.3716,True,under,-110.0,4.0,-4.0
2024-03-28,CWS,DET,0,1.0,0.298,6.89,9.0,0.1479,0.0,-0.0001,0.0001,-0.3521,0.3521,-0.396,True,under,-110.0,4.0,3.64
2024-03-28,HOU,NYY,0,9.0,0.298,7.33,9.0,0.1922,0.2927,-0.0001,0.0001,-0.3078,0.3078,-0.1033,True,under,-110.0,4.0,-4.0
2024-03-28,TB,TOR,0,10.0,0.5544,7.42,9.0,0.203,0.4778,-0.0005,0.0005,-0.297,0.297,0.0818,True,rl_home,145.0,10.0,-10.0
2024-03-28,LAD,STL,1,8.0,0.9931,11.77,9.0,0.8177,0.9231,0.0431,-0.0431,0.3177,-0.3177,0.5271,True,over,-110.0,10.0,-10.0
2024-03-28,SD,SF,1,10.0,0.7876,9.48,9.0,0.4969,0.2244,0.0002,-0.0002,-0.0031,0.0031,-0.1716,False,,,0.0,0.0
2024-03-28,CIN,WSH,1,10.0,0.0833,9.63,9.0,0.5209,0.1364,-0.0,0.0,0.0209,-0.0209,-0.2596,False,,,0.0,0.0
2024-03-28,BAL,LAA,1,14.0,0.9931,9.62,9.0,0.5186,0.947,0.0431,-0.0431,0.0186,-0.0186,0.551,True,rl_home,145.0,10.0,14.5
2024-03-28,KC,MIN,0,5.0,0.4577,7.72,9.0,0.2378,0.2244,0.0001,-0.0001,-0.2622,0.2622,-0.1716,True,under,-110.0,4.0,3.64
2024-03-29,AZ,COL,1,10.0,0.9931,8.17,9.0,0.2978,0.3869,0.0431,-0.0431,-0.2022,0.2022,-0.0091,True,under,-110.0,4.0,-4.0
2024-03-29,LAD,STL,1,9.0,0.1236,14.48,9.0,0.9768,0.7909,-0.0,0.0,0.4768,-0.4768,0.3949,True,over,-110.0,10.0,-10.0
2024-03-29,SD,SF,0,11.0,0.7876,8.04,9.0,0.2802,0.3869,0.0002,-0.0002,-0.2198,0.2198,-0.0091,True,under,-110.0,4.0,-4.0
2024-03-29,SEA,BOS,1,1.0,0.9931,6.92,9.0,0.1511,0.2993,0.0431,-0.0431,-0.3489,0.3489,-0.0966,True,under,-110.0,4.0,3.64
2024-03-29,OAK,CLE,0,10.0,0.184,9.58,9.0,0.5132,0.6466,-0.0,0.0,0.0132,-0.0132,0.2507,True,rl_home,145.0,10.0,-10.0
2024-03-29,HOU,NYY,0,8.0,0.9931,7.0,9.0,0.1588,0.4904,0.0431,-0.0431,-0.3412,0.3412,0.0944,True,rl_home,145.0,10.0,-10.0
2024-03-29,PHI,ATL,0,,0.9375,8.39,9.0,0.3282,0.6466,0.0,-0.0,-0.1718,0.1718,0.2507,True,rl_home,145.0,10.0,-10.0
2024-03-29,TB,TOR,1,10.0,0.7876,6.9,9.0,0.149,0.4778,0.0002,-0.0002,-0.351,0.351,0.0818,True,rl_home,145.0,10.0,14.5
2024-03-29,PHI,ATL,0,12.0,0.9375,8.39,9.0,0.3282,0.6466,0.0,-0.0,-0.1718,0.1718,0.2507,True,rl_home,145.0,10.0,-10.0
2024-03-29,NYM,MIL,0,4.0,0.5812,7.68,9.0,0.2336,0.6466,0.0003,-0.0003,-0.2664,0.2664,0.2507,True,rl_home,145.0,10.0,-10.0
2024-03-29,NYM,MIL,0,,0.5812,7.68,9.0,0.2336,0.6466,0.0003,-0.0003,-0.2664,0.2664,0.2507,True,rl_home,145.0,10.0,-10.0
2024-03-29,MIA,PIT,0,9.0,0.8671,6.68,9.0,0.1299,0.0305,-0.0,0.0,-0.3701,0.3701,-0.3654,True,under,-110.0,4.0,-4.0
2024-03-30,MIA,PIT,0,12.0,0.7876,5.91,9.0,0.0754,0.0,0.0002,-0.0002,-0.4246,0.4246,-0.396,True,under,-110.0,4.0,-4.0
2024-03-30,SEA,BOS,1,7.0,0.5544,6.91,9.0,0.1498,0.2148,-0.0005,0.0005,-0.3502,0.3502,-0.1812,True,under,-110.0,4.0,3.64
2024-03-30,LAD,STL,0,11.0,0.5333,8.54,9.0,0.3512,0.1364,-0.0,0.0,-0.1488,0.1488,-0.2596,True,under,-110.0,4.0,-4.0
2024-03-30,AZ,COL,0,13.0,0.0,10.0,9.0,0.5791,0.0,-0.05,0.05,0.0791,-0.0791,-0.396,True,over,-110.0,10.0,9.09
2024-03-30,SD,SF,0,15.0,0.7876,8.44,9.0,0.336,0.1364,0.0002,-0.0002,-0.164,0.164,-0.2596,True,under,-110.0,4.0,-4.0
2024-03-30,TEX,CHC,1,13.0,0.8308,9.57,9.0,0.5109,0.947,-0.0001,0.0001,0.0109,-0.0109,0.551,True,rl_home,145.0,10.0,14.5
2024-03-30,KC,MIN,0,6.0,0.184,9.32,9.0,0.4721,0.3869,-0.0,0.0,-0.0279,0.0279,-0.0091,False,,,0.0,0.0
2024-03-30,HOU,NYY,0,8.0,0.8671,7.39,9.0,0.1992,0.2244,-0.0,0.0,-0.3008,0.3008,-0.1716,True,under,-110.0,4.0,3.64
2024-03-30,CIN,WSH,0,13.0,0.4578,7.42,9.0,0.2023,0.3869,0.0002,-0.0002,-0.2977,0.2977,-0.0091,True,under,-110.0,4.0,-4.0
2024-03-30,OAK,CLE,0,15.0,0.5544,7.88,9.0,0.2586,0.0305,-0.0005,0.0005,-0.2414,0.2414,-0.3654,True,under,-110.0,4.0,-4.0
2024-03-30,PHI,ATL,0,16.0,1.0,7.11,9.0,0.17,0.2244,0.05,-0.05,-0.33,0.33,-0.1716,True,under,-110.0,4.0,-4.0
2024-03-30,BAL,LAA,1,17.0,1.0,7.86,9.0,0.2554,0.7895,0.05,-0.05,-0.2446,0.2446,0.3935,True,rl_home,145.0,10.0,14.5
2024-03-30,CWS,DET,0,13.0,0.0,11.49,9.0,0.7873,0.0,-0.05,0.05,0.2873,-0.2873,-0.396,True,over,-110.0,10.0,9.09
2024-03-30,NYM,MIL,0,13.0,0.6176,11.09,9.0,0.738,0.3869,0.0003,-0.0003,0.238,-0.238,-0.0091,True,over,-110.0,10.0,9.09
2024-03-30,TB,TOR,1,6.0,0.7876,7.08,9.0,0.1662,0.7909,0.0002,-0.0002,-0.3338,0.3338,0.3949,True,rl_home,145.0,10.0,14.5
2024-03-31,LAD,STL,1,9.0,0.9054,8.51,9.0,0.3464,0.947,-0.0,0.0,-0.1536,0.1536,0.551,True,rl_home,145.0,10.0,-10.0
2024-03-31,SEA,BOS,0,6.0,0.0052,6.18,9.0,0.0921,0.0,-0.0448,0.0448,-0.4079,0.4079,-0.396,True,under,-110.0,4.0,3.64
2024-03-31,AZ,COL,1,6.0,0.4578,8.86,9.0,0.3994,0.1364,0.0002,-0.0002,-0.1006,0.1006,-0.2596,True,under,-110.0,4.0,3.64
2024-03-31,OAK,CLE,1,7.0,0.5544,7.22,9.0,0.1804,0.0693,-0.0005,0.0005,-0.3196,0.3196,-0.3267,True,under,-110.0,4.0,3.64
2024-03-31,TEX,CHC,0,14.0,0.0102,8.1,9.0,0.2882,0.2244,-0.0398,0.0398,-0.2118,0.2118,-0.1716,True,under,-110.0,4.0,-4.0
2024-03-31,HOU,NYY,0,7.0,0.622,9.33,9.0,0.4732,0.0305,0.0,-0.0,-0.0268,0.0268,-0.3654,False,,,0.0,0.0
