pitcher_name,team_abb,season,era,fip,xfip,k_per_9,bb_per_9,k_pct,bb_pct,whip,ip,hr_per_9,gb_pct,lob_pct,war,fangraphs_id
Chris Sale,ATL,2024,2.38,2.09,2.64,11.4,1.98,0.321,0.055999999999999994,1.01,177.2,0.46,0.44799999999999995,0.7979999999999999,6.4,10603
Tarik Skubal,DET,2024,2.39,2.49,2.83,10.69,1.64,0.303,0.046,0.92,192.0,0.7,0.457,0.8,6.0,22267
Zack Wheeler,PHI,2024,2.57,3.13,3.3,10.08,2.34,0.285,0.066,0.96,200.0,0.9,0.426,0.8009999999999999,5.4,10310
Cole Ragans,KCR,2024,3.14,2.99,3.46,10.77,3.24,0.293,0.08800000000000001,1.14,186.1,0.72,0.40700000000000003,0.747,4.9,21846
Seth Lugo,KCR,2024,3.0,3.25,3.83,7.88,2.09,0.217,0.057,1.09,206.2,0.7,0.442,0.7509999999999999,4.7,12447
Dylan Cease,SDP,2024,3.47,3.1,3.44,10.65,3.09,0.294,0.085,1.07,189.1,0.86,0.39799999999999996,0.6940000000000001,4.7,18525
Cristopher Sanchez,PHI,2024,3.32,3.0,3.19,7.58,2.18,0.203,0.057999999999999996,1.24,181.2,0.54,0.574,0.7120000000000001,4.7,20778
Garrett Crochet,CHW,2024,3.58,2.69,2.38,12.88,2.03,0.35100000000000003,0.055,1.07,146.0,1.11,0.451,0.736,4.6,27463
Logan Webb,SFG,2024,3.47,2.95,3.28,7.56,2.2,0.205,0.059000000000000004,1.23,204.2,0.48,0.568,0.7170000000000001,4.4,17995
Paul Skenes,PIT,2024,1.96,2.44,2.54,11.5,2.17,0.331,0.062,0.95,133.0,0.68,0.513,0.856,4.3,33677
George Kirby,SEA,2024,3.53,3.26,3.58,8.43,1.08,0.23,0.03,1.07,191.0,1.04,0.413,0.716,4.1,25436
Logan Gilbert,SEA,2024,3.23,3.27,3.11,9.49,1.6,0.27399999999999997,0.046,0.89,208.2,1.12,0.451,0.695,4.0,22250
Michael King,SDP,2024,2.95,3.33,3.5,10.42,3.26,0.27699999999999997,0.087,1.19,173.2,0.88,0.40399999999999997,0.752,3.9,19853
Tanner Houck,BOS,2024,3.12,3.32,3.58,7.76,2.42,0.207,0.065,1.14,178.2,0.55,0.5589999999999999,0.7090000000000001,3.9,19879
Tyler Glasnow,LAD,2024,3.49,2.9,2.68,11.28,2.35,0.322,0.067,0.95,134.0,1.01,0.486,0.698,3.9,14374
Corbin Burnes,BAL,2024,2.92,3.55,3.55,8.38,2.22,0.231,0.061,1.1,194.1,1.02,0.48200000000000004,0.755,3.8,19361
Sonny Gray,STL,2024,3.84,3.12,2.82,10.98,2.11,0.303,0.057999999999999996,1.09,166.1,1.14,0.423,0.679,3.8,12768
Framber Valdez,HOU,2024,2.91,3.25,3.08,8.63,2.81,0.24,0.078,1.11,176.1,0.66,0.606,0.7709999999999999,3.7,17295
Hunter Greene,CIN,2024,2.75,3.47,4.19,10.12,3.41,0.27699999999999997,0.09300000000000001,1.02,150.1,0.72,0.34,0.805,3.7,22182
Yusei Kikuchi,- - -,2024,4.05,3.46,3.2,10.55,2.25,0.28,0.06,1.2,175.2,1.28,0.426,0.7190000000000001,3.6,20633
Reynaldo Lopez,ATL,2024,1.99,2.92,3.44,9.82,2.79,0.273,0.077,1.11,135.2,0.66,0.39399999999999996,0.87,3.5,16400
Ranger Suarez,PHI,2024,3.46,3.37,3.26,8.66,2.45,0.23199999999999998,0.065,1.2,150.2,0.84,0.519,0.7390000000000001,3.4,17277
Max Fried,ATL,2024,3.25,3.33,3.33,8.57,2.94,0.23199999999999998,0.08,1.16,174.1,0.67,0.588,0.725,3.4,13743
Nick Martinez,CIN,2024,3.1,3.21,3.89,7.33,1.14,0.204,0.032,1.03,142.1,0.82,0.369,0.715,3.4,12730
Erick Fedde,- - -,2024,3.3,3.86,4.12,7.82,2.64,0.212,0.07200000000000001,1.16,177.1,1.02,0.42100000000000004,0.792,3.4,17425
Jack Flaherty,- - -,2024,3.17,3.48,3.0,10.78,2.11,0.299,0.059000000000000004,1.07,162.0,1.33,0.395,0.809,3.3,17479
Michael Wacha,KCR,2024,3.35,3.65,4.14,7.83,2.43,0.212,0.066,1.19,166.2,0.92,0.386,0.7709999999999999,3.3,14078
Tanner Bibee,CLE,2024,3.47,3.56,3.72,9.69,2.28,0.263,0.062,1.12,173.2,1.14,0.34600000000000003,0.7709999999999999,3.3,30134
Pablo Lopez,MIN,2024,4.08,3.65,3.36,9.62,1.99,0.256,0.053,1.19,185.1,1.26,0.429,0.722,3.2,17085
Hunter Brown,HOU,2024,3.49,3.58,3.47,9.48,3.18,0.251,0.084,1.27,170.0,0.95,0.489,0.7659999999999999,3.2,25880
MacKenzie Gore,WSN,2024,3.9,3.53,3.87,9.79,3.52,0.248,0.08900000000000001,1.42,166.1,0.81,0.391,0.6809999999999999,3.2,22201
Shota Imanaga,CHC,2024,2.91,3.72,3.62,9.03,1.45,0.251,0.04,1.02,173.1,1.4,0.37200000000000005,0.802,3.1,33829
Aaron Nola,PHI,2024,3.57,3.94,3.44,8.89,2.26,0.24,0.061,1.2,199.1,1.35,0.445,0.79,3.1,16149
Brandon Pfaadt,ARI,2024,4.71,3.61,3.58,9.17,2.08,0.243,0.055,1.24,181.2,1.19,0.415,0.645,3.1,27782
Nestor Cortes,NYY,2024,3.77,3.84,4.16,8.36,2.01,0.228,0.055,1.15,174.1,1.24,0.311,0.764,3.1,17874
Joe Ryan,MIN,2024,3.6,3.44,3.44,9.8,1.53,0.273,0.043,0.99,135.0,1.27,0.35700000000000004,0.7090000000000001,3.1,21390
Blake Snell,SFG,2024,3.12,2.43,3.01,12.55,3.81,0.34700000000000003,0.105,1.05,104.0,0.52,0.42,0.7090000000000001,3.1,13543
Kevin Gausman,TOR,2024,3.83,3.77,4.22,8.06,2.78,0.214,0.07400000000000001,1.22,181.0,0.99,0.38299999999999995,0.703,3.0,14107
Bailey Ober,MIN,2024,3.98,3.82,3.83,9.62,2.17,0.26899999999999996,0.061,1.0,178.2,1.36,0.335,0.7070000000000001,3.0,21224
Justin Steele,CHC,2024,3.07,3.23,3.62,9.02,2.47,0.243,0.067,1.1,134.2,0.8,0.44799999999999995,0.725,3.0,17312
Yoshinobu Yamamoto,LAD,2024,3.0,2.61,2.86,10.5,2.2,0.285,0.06,1.11,90.0,0.7,0.479,0.757,2.9,33825
Zac Gallen,ARI,2024,3.65,3.38,3.62,9.49,3.28,0.251,0.087,1.26,148.0,0.79,0.462,0.747,2.8,19291
Sean Manaea,NYM,2024,3.47,3.83,4.04,9.12,3.12,0.249,0.085,1.08,181.2,1.04,0.376,0.742,2.8,15873
Zach Eflin,- - -,2024,3.59,3.77,3.81,7.29,1.31,0.196,0.035,1.15,165.1,1.2,0.42700000000000005,0.752,2.8,13774
Bryce Miller,SEA,2024,2.94,3.58,3.85,8.53,2.25,0.243,0.064,0.98,180.1,1.05,0.381,0.782,2.7,29837
Spencer Schwellenbach,ATL,2024,3.35,3.29,3.34,9.24,1.67,0.254,0.046,1.04,123.2,1.02,0.41600000000000004,0.745,2.7,31846
Cade Smith,CLE,2024,1.91,1.4,2.41,12.31,2.03,0.35600000000000004,0.059000000000000004,0.9,75.1,0.12,0.436,0.79,2.7,27867
Nathan Eovaldi,TEX,2024,3.8,3.83,3.47,8.75,2.21,0.239,0.06,1.11,170.2,1.21,0.483,0.745,2.6,9132
Griffin Jax,MIN,2024,2.03,1.94,2.32,12.04,1.9,0.344,0.054000000000000006,0.87,71.0,0.51,0.522,0.7709999999999999,2.6,20253
Brady Singer,KCR,2024,3.71,3.93,3.62,8.52,2.71,0.223,0.071,1.27,179.2,1.1,0.47100000000000003,0.778,2.5,25377
Reese Olson,DET,2024,3.53,3.17,3.72,8.09,2.64,0.217,0.071,1.18,112.1,0.56,0.506,0.6759999999999999,2.5,24968
Ryan Feltner,COL,2024,4.49,4.16,4.17,7.65,2.88,0.19899999999999998,0.075,1.34,162.1,1.11,0.449,0.6629999999999999,2.5,21446
