team_abb,statcast_xwoba,statcast_barrel_pct,statcast_hard_hit_pct,statcast_avg_ev,statcast_n_batted,statcast_avg_la,period_start,type
ATH,0.3609329154771097,0.06704980842911877,0.31992337164750956,86.29885057471265,522,14.118773946360154,2023-03-20,batting
ATL,0.4369288381535025,0.10536044362292052,0.4510166358595194,90.20961182994455,541,9.448339483394834,2023-03-20,batting
AZ,0.37023801923868027,0.0701468189233279,0.3817292006525285,88.57618270799347,613,11.568403908794789,2023-03-20,batting
BAL,0.4026897821193664,0.07766990291262135,0.42718446601941745,89.87631067961166,515,13.697087378640777,2023-03-20,batting
BOS,0.36146278946948396,0.07992565055762081,0.379182156133829,88.04516728624536,538,12.195167286245352,2023-03-20,batting
CHC,0.3962145715679046,0.07809110629067245,0.3969631236442516,88.31973969631237,461,10.37527114967462,2023-03-20,batting
CIN,0.3577820848612249,0.049281314168377825,0.34496919917864477,87.03326488706365,487,14.331288343558283,2023-03-20,batting
CLE,0.34774500937892994,0.03885135135135135,0.3344594594594595,86.37533783783783,592,11.231028667790893,2023-03-20,batting
COL,0.3552552918835322,0.05902192242833052,0.327150084317032,86.32984822934232,593,11.656565656565656,2023-03-20,batting
CWS,0.355959723147526,0.06746031746031746,0.3551587301587302,87.74503968253968,504,9.654150197628459,2023-03-20,batting
DET,0.3579655613317533,0.06010016694490818,0.38898163606010017,88.66828046744575,599,10.15525876460768,2023-03-20,batting
HOU,0.36478169774863295,0.05523809523809524,0.36952380952380953,87.83809523809524,525,12.859315589353612,2023-03-20,batting
KC,0.38324903794720905,0.08130081300813008,0.46747967479674796,90.56565040650408,492,11.40973630831643,2023-03-20,batting
LAA,0.3680968290915168,0.0823327615780446,0.4322469982847341,89.99862778730703,583,12.506003430531733,2023-03-20,batting
LAD,0.4406850989736002,0.11151079136690648,0.4442446043165468,90.34352517985612,556,13.616906474820144,2023-03-20,batting
MIA,0.3665591431214276,0.04833333333333333,0.36833333333333335,88.59483333333334,600,8.39469320066335,2023-03-20,batting
MIL,0.3767274832101407,0.07056451612903226,0.39314516129032256,87.91874999999999,496,9.425403225806452,2023-03-20,batting
MIN,0.368743936124489,0.07692307692307693,0.40559440559440557,88.76608391608391,572,13.905594405594405,2023-03-20,batting
NYM,0.3499369472569415,0.05592105263157895,0.34868421052631576,87.55756578947368,608,10.041118421052632,2023-03-20,batting
